2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
523,Kelly,3674,,452,830,1356,1036,-1
523,maxan,3674,,482,936,1230,1026,
523,hantansu98,3674,,436,850,1224,1164,
526,scientist,3672,,430,916,1230,1096,
527,Zz7,3668,,418,900,1176,1174,
528,Mahir83,3662,,494,960,1058,1150,
528,CYJian,3662,,324,844,1320,1174,-1
530,Andrija,3660,,490,932,1186,1052,
531,Bohoty,3658,,418,948,1108,1184,
532,Tonghuimoi,3656,,494,886,1314,962,-3
533,L0TUS,3654,,488,956,1362,848,-1
533,sauravray2587,3654,,438,936,1326,954,
533,ilbro,3654,,430,932,1062,1230,
533,birchtree,3654,,440,854,1170,1190,
537,Hussien_Ibrahiem,3650,,482,866,1134,1168,
538,dummyummy,3644,,484,924,1272,964,
538,30V0TAR_B0P0HA,3644,,368,904,1052,1320,
538,revpro,3644,,430,940,1236,1038,
538,Denverjin,3644,,342,940,1338,1024,-3
542,KevinMathew,3632,,490,936,1242,964,
543,Yuuki-Asuna,3626,,484,870,1146,1126,
544,ajcxsu,3624,,442,964,1054,1164,-1
545,hs484,3620,,490,852,1236,1042,-3
546,__alt,3616,,416,892,1128,1180,-1
546,jiraya_,3616,,454,852,1110,1200,
548,CPX,3614,,438,944,1236,996,
549,aayush9,3612,,-1,964,1268,1380,-3
550,hymsly,3610,+1,486,944,1288,792,-1
550,Monster__Qi,3610,,438,944,1362,866,-1
550,satyajit97,3610,,456,864,1122,1168,
553,Sq1,3608,,484,944,1238,942,
554,Snowe,3596,,486,854,1146,1110,
555,aryanc403,3590,,424,870,1124,1172,-2
556,ptnk_1215_panaka_13,3586,,396,876,1254,1060,
557,GastonFontenla,3584,,438,952,1296,898,
